timestamp_ms,heading_deg,speed_ms,speed_src,pos_x_m,pos_y_m,lat,lon,pos_src,mag_x_raw,mag_y_raw,mag_z_raw,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,mag_x_cal,mag_y_cal,mag_z_cal,accel_x_cal,accel_y_cal,accel_z_cal,gyro_x_cal,gyro_y_cal,gyro_z_cal,pitch_deg,roll_deg
48092,35.04,0.499,G,-10018.78,25734.80,47.73117828,-122.63321686,G,40.602,43.496,137.986,-0.003,-0.062,-0.993,-0.010,-0.063,-0.037,15.897,1.966,48.723,-0.009,-0.069,-1.000,-0.004,0.014,0.005,0.03,3.68
48201,34.98,0.499,G,-10018.80,25733.92,47.73117065,-122.63321686,G,40.836,44.241,137.357,-0.002,-0.061,-0.992,-0.011,-0.065,-0.036,16.125,2.724,48.093,-0.008,-0.068,-0.999,-0.005,0.011,0.005,0.03,3.68
48310,35.08,0.530,G,-10018.80,25733.92,47.73117065,-122.63321686,G,40.675,44.198,137.723,0.001,-0.058,-0.994,-0.010,-0.066,-0.037,15.968,2.682,48.463,-0.006,-0.065,-1.001,-0.004,0.011,0.005,0.04,3.68
48415,35.22,0.530,G,-10018.80,25733.92,47.73117065,-122.63321686,G,40.631,44.344,137.781,-0.002,-0.061,-0.994,-0.009,-0.063,-0.036,15.926,2.833,48.523,-0.008,-0.068,-1.001,-0.002,0.014,0.005,0.04,3.68
48523,35.27,0.530,G,-10018.80,25733.92,47.73117065,-122.63321686,G,40.953,43.949,137.109,-0.003,-0.057,-0.995,-0.009,-0.063,-0.037,16.240,2.422,47.839,-0.009,-0.064,-1.002,-0.002,0.014,0.004,0.08,3.68
48632,35.21,0.530,G,-10018.80,25733.92,47.73117065,-122.63321686,G,40.544,43.774,138.015,0.000,-0.063,-0.990,-0.009,-0.065,-0.034,15.840,2.251,48.755,-0.006,-0.071,-0.997,-0.003,0.012,0.007,0.10,3.68
48740,35.25,0.530,G,-10018.80,25733.92,47.73117065,-122.63321686,G,40.514,44.110,137.928,0.003,-0.064,-0.992,-0.008,-0.063,-0.031,15.812,2.594,48.669,-0.004,-0.071,-1.000,-0.002,0.014,0.010,0.12,3.67
48848,35.22,0.530,G,-10018.80,25733.92,47.73117065,-122.63321686,G,40.982,43.891,138.585,-0.004,-0.061,-0.992,-0.011,-0.065,-0.034,16.262,2.375,49.330,-0.010,-0.068,-1.000,-0.005,0.012,0.007,0.12,3.67
48956,35.26,0.530,G,-10018.80,25733.92,47.73117065,-122.63321686,G,40.894,44.139,138.030,0.001,-0.062,-0.993,-0.007,-0.067,-0.036,16.179,2.625,48.771,-0.005,-0.069,-1.001,-0.001,0.010,0.005,0.12,3.67
49064,35.30,0.530,G,-10018.80,25733.92,47.73117065,-122.63321686,G,40.427,43.949,137.825,-0.000,-0.060,-0.995,-0.010,-0.064,-0.035,15.728,2.429,48.565,-0.007,-0.067,-1.003,-0.004,0.012,0.006,0.13,3.67
49172,35.33,0.530,G,-10018.80,25733.92,47.73117065,-122.63321686,G,40.997,44.300,138.118,0.001,-0.063,-0.993,-0.010,-0.068,-0.037,16.277,2.790,48.861,-0.005,-0.070,-1.000,-0.003,0.008,0.004,0.13,3.67
49281,35.40,0.514,G,-10017.65,25733.50,47.73116684,-122.63320160,G,41.435,44.315,137.869,0.001,-0.062,-0.994,-0.010,-0.064,-0.035,16.702,2.803,48.608,-0.005,-0.069,-1.001,-0.004,0.013,0.006,0.13,3.67
49387,35.39,0.514,G,-10017.65,25733.50,47.73116684,-122.63320160,G,40.851,43.847,137.533,0.013,-0.070,-0.997,-0.009,-0.064,-0.037,16.139,2.321,48.267,0.006,-0.077,-1.004,-0.002,0.013,0.004,0.13,3.67
49495,35.39,0.514,G,-10017.65,25733.50,47.73116684,-122.63320160,G,40.778,44.431,137.650,-0.012,-0.061,-0.984,-0.008,-0.075,-0.034,16.067,2.921,48.390,-0.019,-0.068,-0.992,-0.002,0.002,0.007,0.12,3.65
49604,35.50,0.514,G,-10017.65,25733.50,47.73116684,-122.63320160,G,40.617,44.271,137.752,-0.005,-0.057,-0.994,-0.011,-0.070,-0.032,15.912,2.758,48.493,-0.011,-0.064,-1.001,-0.004,0.007,0.009,0.12,3.66
49712,35.57,0.514,G,-10017.65,25733.50,47.73116684,-122.63320160,G,40.865,44.212,137.460,-0.002,-0.065,-0.995,-0.011,-0.062,-0.037,16.153,2.695,48.196,-0.009,-0.072,-1.002,-0.005,0.014,0.004,0.14,3.67
49821,35.60,0.514,G,-10017.65,25733.50,47.73116684,-122.63320160,G,40.734,44.271,137.957,-0.009,-0.066,-0.996,-0.007,-0.068,-0.033,16.024,2.759,48.699,-0.015,-0.074,-1.004,-0.001,0.009,0.008,0.13,3.66
49929,35.40,0.514,G,-10017.65,25733.50,47.73116684,-122.63320160,G,40.821,44.241,137.942,0.095,-0.036,-0.963,-0.007,-0.092,0.022,16.109,2.729,48.684,0.088,-0.043,-0.971,-0.000,-0.016,0.063,0.35,3.61
50037,35.56,0.514,G,-10017.65,25733.50,47.73116684,-122.63320160,G,41.245,44.358,138.015,0.048,-0.023,-1.007,-0.011,-0.052,0.162,16.518,2.849,48.757,0.042,-0.030,-1.014,-0.005,0.025,0.203,0.71,3.47
50142,36.81,0.514,G,-10017.65,25733.50,47.73116684,-122.63320160,G,40.661,44.402,137.606,0.026,-0.051,-0.993,-0.008,-0.048,0.256,15.955,2.891,48.346,0.020,-0.058,-1.000,-0.002,0.029,0.297,0.94,3.41
50251,38.87,0.514,G,-10017.65,25733.50,47.73116684,-122.63320160,G,40.368,45.367,138.322,-0.012,-0.074,-0.992,-0.010,-0.045,0.247,15.668,3.886,49.080,-0.019,-0.081,-0.999,-0.004,0.032,0.288,0.88,3.51
50356,40.71,0.396,G,-10017.65,25733.50,47.73116684,-122.63320160,G,40.398,46.010,138.424,-0.023,-0.061,-0.994,-0.011,-0.048,0.221,15.696,4.547,49.188,-0.029,-0.068,-1.002,-0.004,0.029,0.263,0.73,3.56
50465,42.49,0.396,G,-10017.65,25733.49,47.73116684,-122.63320160,G,40.120,46.463,138.527,-0.002,-0.052,-0.992,-0.011,-0.047,0.196,15.426,5.012,49.297,-0.009,-0.059,-0.999,-0.004,0.030,0.237,0.54,3.58
50566,43.96,0.396,G,-10017.65,25733.49,47.73116684,-122.63320160,G,39.316,47.033,138.468,0.010,-0.062,-0.990,-0.008,-0.047,0.179,14.649,5.597,49.246,0.004,-0.069,-0.997,-0.002,0.029,0.220,0.47,3.60
50674,45.28,0.396,G,-10017.65,25733.49,47.73116684,-122.63320160,G,39.287,47.179,138.424,0.034,-0.046,-0.996,-0.006,-0.056,0.204,14.621,5.746,49.203,0.027,-0.053,-1.003,0.001,0.020,0.245,0.56,3.58
50782,46.74,0.396,G,-10017.65,25733.49,47.73116684,-122.63320160,G,39.272,48.173,138.059,0.037,-0.034,-0.997,-0.006,-0.050,0.282,14.608,6.762,48.843,0.031,-0.041,-1.004,0.000,0.027,0.324,0.73,3.53
50890,48.76,0.396,G,-10017.65,25733.49,47.73116684,-122.63320160,G,38.848,48.042,137.898,0.016,-0.047,-0.992,-0.010,-0.042,0.334,14.199,6.626,48.681,0.009,-0.054,-0.999,-0.004,0.035,0.376,0.81,3.47
50998,51.08,0.396,G,-10017.65,25733.49,47.73116684,-122.63320160,G,38.308,49.167,138.337,0.029,-0.047,-1.000,-0.005,-0.034,0.361,13.673,7.784,49.136,0.023,-0.054,-1.008,0.001,0.043,0.402,0.88,3.47
51106,53.45,0.396,G,-10017.65,25733.49,47.73116684,-122.63320160,G,38.264,49.795,138.103,0.061,-0.038,-0.995,-0.002,-0.043,0.418,13.631,8.426,48.906,0.054,-0.045,-1.003,0.004,0.034,0.459,1.08,3.47
51214,56.17,0.396,G,-10017.65,25733.07,47.73116302,-122.63320160,G,37.854,49.985,138.439,0.034,-0.050,-0.966,0.004,-0.031,0.505,13.234,8.624,49.249,0.027,-0.057,-0.974,0.011,0.046,0.546,1.21,3.46
51323,59.38,0.268,G,-10017.65,25733.07,47.73116302,-122.63320160,G,36.597,50.453,138.220,0.027,-0.019,-1.002,0.002,-0.040,0.581,12.020,9.102,49.037,0.021,-0.026,-1.009,0.009,0.037,0.623,1.35,3.41
